index,time,run_off,evaporation
0,2011-01-04 14:00:00,7.13244080543518e-05,-1.2884847819805145e-05
1,2011-01-10 14:00:00,7.60108232498169e-05,-0.0003588087856769562
2,2011-01-16 14:00:00,8.097290992736816e-05,3.5664066672325134e-05
3,2011-01-22 14:00:00,8.678436279296875e-05,1.2204982340335846e-05
4,2011-01-28 14:00:00,9.535253047943115e-05,3.824196755886078e-05
5,2011-02-04 14:00:00,0.00010441243648529053,3.2094307243824005e-05
6,2011-02-10 14:00:00,0.00011202692985534668,-0.00011398643255233765
7,2011-02-16 14:00:00,0.00012065470218658447,-0.00010139308869838715
8,2011-02-22 14:00:00,0.00013643503189086914,-0.00021041836589574814
9,2011-02-28 14:00:00,0.00016851723194122314,-2.3787841200828552e-05
10,2011-03-04 14:00:00,0.00020766258239746094,-1.6419216990470886e-05
11,2011-03-10 14:00:00,0.0007453560829162598,-0.00017854385077953339
12,2011-03-16 14:00:00,0.0012644529342651367,-2.226606011390686e-05
13,2011-03-22 14:00:00,0.001345708966255188,-0.0003342488780617714
14,2011-03-28 14:00:00,0.0012764036655426025,-0.000456041656434536
15,2011-04-04 14:00:00,0.0012071654200553894,-0.0001471070572733879
16,2011-04-10 14:00:00,0.0011494606733322144,-0.0005284417420625687
17,2011-04-16 14:00:00,0.0011026263236999512,-0.000433863140642643
18,2011-04-22 14:00:00,0.0010728389024734497,-0.0007172413170337677
19,2011-04-28 14:00:00,0.0010417923331260681,-6.628409028053284e-05
20,2011-05-04 14:00:00,0.0009886622428894043,-0.00015370827168226242
21,2011-05-10 14:00:00,0.0009267330169677734,-0.0007141632959246635
22,2011-05-16 14:00:00,0.0009561330080032349,-0.00048277992755174637
23,2011-05-22 14:00:00,0.0008142292499542236,-0.0006235763430595398
24,2011-05-28 14:00:00,0.0007808804512023926,-0.0005273651331663132
25,2011-06-04 14:00:00,0.0007269829511642456,-0.0008880430832505226
26,2011-06-10 14:00:00,0.0006659626960754395,-0.0008494313806295395
27,2011-06-16 14:00:00,0.0006161928176879883,-0.0008842749521136284
28,2011-06-22 14:00:00,0.0005564242601394653,-0.0002810545265674591
29,2011-06-28 14:00:00,0.0005132555961608887,-0.0007581878453493118
30,2011-07-04 14:00:00,0.0005263984203338623,-0.0007625911384820938
31,2011-07-10 14:00:00,0.00042685866355895996,-0.0010109245777130127
32,2011-07-16 14:00:00,0.0003849714994430542,-0.0009404681622982025
33,2011-07-22 14:00:00,0.0003440976142883301,-0.0008540106937289238
34,2011-07-28 14:00:00,0.0003077685832977295,-0.00081657525151968
35,2011-08-04 14:00:00,0.0002702772617340088,-0.00046352390199899673
36,2011-08-10 14:00:00,0.004893258213996887,-0.000796993263065815
37,2011-08-16 14:00:00,0.0002543926239013672,-0.0008799498900771141
38,2011-08-22 14:00:00,0.0002579241991043091,-0.0009584343060851097
39,2011-08-28 14:00:00,0.003023475408554077,-0.0003727106377482414
40,2011-09-04 14:00:00,0.0001894533634185791,-0.0005439706146717072
41,2011-09-10 14:00:00,0.00018277764320373535,-0.0005605854094028473
42,2011-09-16 14:00:00,0.0001868605613708496,-0.001559915952384472
43,2011-09-22 14:00:00,0.0003092065453529358,-1.0477378964424133e-06
44,2011-09-28 14:00:00,0.0001707226037979126,-0.0005066841840744019
45,2011-10-04 14:00:00,0.0042431652545928955,-0.0003071427345275879
46,2011-10-10 14:00:00,0.0001741647720336914,-0.0003190431743860245
47,2011-10-16 14:00:00,0.00018112361431121826,-0.0010240375995635986
48,2011-10-22 14:00:00,0.00019475817680358887,-0.000364755280315876
49,2011-10-28 14:00:00,0.00040765106678009033,-0.0006348178721964359
50,2011-11-04 14:00:00,0.00032699108123779297,-0.0001641642302274704
51,2011-11-10 14:00:00,0.00040078163146972656,0.0001730639487504959
52,2011-11-16 14:00:00,0.00046375393867492676,-2.3923814296722412e-05
53,2011-11-22 14:00:00,0.0005231946706771851,-5.815085023641586e-05
54,2011-11-28 14:00:00,0.0006959587335586548,-3.990624099969864e-05
55,2011-12-04 14:00:00,0.0007682591676712036,-1.8579885363578796e-05
56,2011-12-10 14:00:00,0.0009429007768630981,-0.00010689534246921539
57,2011-12-16 14:00:00,0.0011262297630310059,-0.00025129038840532303
58,2011-12-22 14:00:00,0.0011312812566757202,0.00021625962108373642
59,2011-12-28 14:00:00,0.0019266456365585327,0.000201517716050148
60,2012-01-04 14:00:00,0.001043170690536499,-0.00026244204491376877
61,2012-01-10 14:00:00,0.001010805368423462,-7.630698382854462e-05
62,2012-01-16 14:00:00,0.0009738653898239136,-0.00013149157166481018
63,2012-01-22 14:00:00,0.0009428709745407104,-5.164928734302521e-05
64,2012-01-28 14:00:00,0.0009273290634155273,-0.0004473673179745674
65,2012-02-04 14:00:00,0.0009783953428268433,-9.71425324678421e-05
66,2012-02-10 14:00:00,0.0009681805968284607,-7.514189928770065e-05
67,2012-02-16 14:00:00,0.0009453147649765015,7.490627467632294e-06
68,2012-02-22 14:00:00,0.0009135454893112183,-3.407243639230728e-05
69,2012-02-28 14:00:00,0.0008661001920700073,-0.0003142384812235832
70,2012-03-04 14:00:00,0.0008321106433868408,5.259178578853607e-05
71,2012-03-10 14:00:00,0.0007931441068649292,-0.00028034113347530365
72,2012-03-16 14:00:00,0.0007595568895339966,-0.00020761601626873016
73,2012-03-22 14:00:00,0.0007238090038299561,-0.000153309665620327
74,2012-03-28 14:00:00,0.0006829202175140381,-0.0003722282126545906
75,2012-04-04 14:00:00,0.0006357282400131226,-0.00040120817720890045
76,2012-04-10 14:00:00,0.0005916357040405273,-0.0004916461184620857
